Size,Density,Ours (ms),Hadamard (ms),Matmul (ms),Taco (ms)
1024, 0.05, 0.098, 0.014, 0.305, 0.32
2048, 0.05, 0.314, 0.029, 0.793, 0.822
4096, 0.05, 1.154, 0.037, 1.717, 1.754
8192, 0.05, 4.918, 0.034, 2.796, 2.831
16384, 0.05, 19.443, 0.108, 12.275, 12.383
32768, 0.05, 77.781, 0.171, 40.436, 40.61
1024, 0.01, 0.083, 0.024, 0.491, 0.516
2048, 0.01, 0.178, 0.015, 0.296, 0.311
4096, 0.01, 0.428, 0.042, 0.848, 0.89
8192, 0.01, 1.066, 0.06, 1.966, 2.026
16384, 0.01, 4.842, 0.121, 4.517, 4.639
32768, 0.01, 20.998, 0.151, 11.501, 11.653
1024, 0.001, 0.029, 0.023, 0.498, 0.522
2048, 0.001, 0.093, 0.03, 0.521, 0.551
4096, 0.001, 0.119, 0.047, 0.627, 0.675
8192, 0.001, 0.357, 0.059, 0.93, 0.989
16384, 0.001, 0.884, 0.083, 1.347, 1.43
32768, 0.001, 2.033, 0.142, 3.322, 3.464
1024, 0.0001, 0.048, 0.023, 0.464, 0.487
2048, 0.0001, 0.041, 0.032, 0.525, 0.557
4096, 0.0001, 0.138, 0.051, 0.615, 0.667
8192, 0.0001, 0.304, 0.085, 0.894, 0.979
16384, 0.0001, 0.493, 0.14, 1.142, 1.283
32768, 0.0001, 0.561, 0.136, 1.042, 1.179
