Matrix, Rows, Columns, Nnz, Transpose (ms), Taco Transpose (ms), Taco (ms), [Transpose + Taco] (ms), Fused(Ours) (ms), [Transpose best + Taco], Speedup vs [Transpose + Taco], Speedup vs Best Version
bcsstk17.mtx, 10974, 10974, 428650, 1.479387, 52.408, 1.002, 53.41, 2.302, 2.481387, 23.202, 1.078
scircuit.mtx, 170998, 170998, 958936, 8.029699, 128.13, 2.405, 130.535, 6.628, 10.434699, 19.694, 1.574
mac_econ_fwd500.mtx, 206500, 206500, 1273389, 5.632162, 178.107, 2.434, 180.541, 5.738, 8.066, 31.4640, 1.406
rma10.mtx, 46835, 46835, 2374001, 7.265329, 328.572, 5.147, 333.719, 22.094, 12.412329, 15.104, 0.562
cop20k_A.mtx, 121192, 121192, 2624331, 9.519577, 396.1, 5.912, 402.012, 31.637, 15.431577, 12.707, 0.488
webbase-1M.mtx, 1000005, 1000005, 3105536, 16.115427, 451.556, 6.376, 457.932, 35.243, 22.491427, 12.993, 0.638
cant.mtx, 62451, 62451, 4007383, 10.291576, 540.104, 8.964, 549.068, 35.238, 19.255576, 15.582, 0.546
pdb1HYS.mtx, 36417, 36417, 4344765, 15.915394, 654.293, 9.418, 663.711, 57.327, 25.333394, 11.578, 0.442
consph.mtx, 83334, 83334, 6010480, 21.727324, 864.645, 12.713, 877.358, 48.37, 34.440324, 18.138, 0.712
shipsec1.mtx, 140874, 140874, 7813404, 22.956133, 1091.74, 16.021, 1107.77, 51.816, 38.977133, 21.379, 0.752
pwtk.mtx, 217918, 217918, 11634424, 32.548428, 1682.88, 23.474, 1706.35, 53.101, 55.022428, 32.134, 1.036
circuit5M.mtx, 5558326, 5558326, 59524291, 198.232412, 9076.39, 118.738, 9195.13, 758.803, 316.970412, 12.118, 0.418
