Tensor,Taco(ms),MKL(ms),Speedup
bcsstk17,43.558,48.935,1.123
scircuit,148.64,147.106,0.989
mac_econ_fwd500,269.678,260.074,0.963
majorbasis,192.893,140.648,0.729
Lin,128.097,77.01,0.601
rma10,325.352,382.896,1.177
cop20k_A,653.44,700.392,1.072
webbase-1M,sigfault,16477.3,-
cant,688.486,695.758,1.011
pdb1HYS,1045.47,1331.72,1.274
ecology1,240.993,159.065,0.661
consph,1055.3,1121.22,1.062
shipsec1,950.249,1055.41,1.111
atmosmodd,647.225,422.169,0.652
pwtk,1268.36,1337.65,1.055
circuit5M,sigfault,timeout,-
largebasis,392.019,300.736,0.767



Tensor,Taco(ms),MKL(ms),Speedup
bcsstk17,27.006,39.166,1.45
scircuit,64.582,64.712,1.002
mac_econ_fwd500,89.708,80.575,0.898
majorbasis,87.381,88.224,1.01
Lin,60.228,57.399,0.952
rma10,199.85,295.961,1.479
cop20k_A,293.855,315.189,1.072
webbase-1M,segfault,6891.85,-
cant,369.364,520.322,1.41
pdb1HYS,650.687,988.904,1.52
ecology1,128.853,125.72,0.976
consph,608.548,885.415,1.453
shipsec1,587.291,855.365,1.456
atmosmodd,315.9,296.085,0.937
pwtk,783.704,1146.22,1.465
circuit5M,seqfault,-
largebasis,197.153,216.26,1.096
